,publication_title,publication_year,google_scholar_link,journal_name,contributors,citations,Department 
Dr Harsh Kumar Verma,A high capacity text steganography scheme based on LZW compression and color coding,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:DyXnQzXoVgIC,"Engineering Science and Technology, an International Journal 20 (1), 72-79, 2017","V Singh, KP Sharma, HK Verma, G Kumar, B Balusamy, S Rani, W Jiang",,Computer Science and Engineering 
Dr Harsh Kumar Verma,Comprehensive survey on petya ransomware attack,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:k_7cPK9k7w8C,"2017 International conference on next generation computing and information …, 2017","K Goswami, LK Awasthi, HK Verma",,Computer Science and Engineering 
Dr Harsh Kumar Verma,Outlier detection of data in wireless sensor networks using kernel density estimation,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:TlpoogIpr_IC,"International Journal of Computer Applications 5 (7), 28-32, 2010","FR Lone, HK Verma",1,Computer Science and Engineering 
Dr Harsh Kumar Verma,A reversible data hiding scheme for interpolated images based on pixel intensity range,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:pS0ncopqnHgC,"Multimedia Tools and Applications 79 (25), 18005-18031, 2020","A Sinha, S Singh, HK Verma",,Computer Science and Engineering 
Dr Harsh Kumar Verma,"Performance analysis of RC6, Twofish and Rijndael block cipher algorithms",2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:SnGPuo6Feq8C,"International Journal of Computer Applications 42 (16), 1-7, 2012","V Singh, KP Sharma, HK Verma",5,Computer Science and Engineering 
Dr Harsh Kumar Verma,Optimized fuzzy logic based framework for effort estimation in software development,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:UmS_249rOGwC,"arXiv preprint arXiv:1004.3270, 2010","Jyoti, U Bansal, G Sikka, LK Awasthi, HK Verma",,Computer Science and Engineering 
Dr Harsh Kumar Verma,Simulation modeling of cloud computing for smart grid using CloudSim,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:CYCckWUYoCcC,"Journal of Electrical Systems and Information Technology 4 (1), 159-172, 2017","Lovee, H Verma, A Malik",,Computer Science and Engineering 
Dr Harsh Kumar Verma,A hybrid approach for image security by combining encryption and steganography,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:AXkvAH5U_nMC,"2013 IEEE second international conference on image information processing …, 2013","F Lone, HK Verma, KP Sharma",10,Computer Science and Engineering 
Dr Harsh Kumar Verma,Image interpolation based high capacity reversible data hiding scheme,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:VN7nJs4JPk0C,"Multimedia Tools and Applications 76 (22), 24107-24123, 2017","V Singh, KP Sharma, HK Verma",3,Computer Science and Engineering 
Dr Harsh Kumar Verma,Security for wireless sensor network,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:oi2SiIJ9l4AC,"International Journal on Computer Science and Engineering 3 (6), 2393-2399, 2011","FR Lone, HK Verma, KP Sharma",4,Computer Science and Engineering 
